timestamp,elapsed_ms,event,seq_num,detail,rtt_ms,size_bytes
1777647883.6467,4.87,SENT,1,size=1024B,,1024
1777647883.6475,5.62,SENT,2,size=1024B,,1024
1777647883.648,6.14,SENT,3,size=1024B,,1024
1777647883.6484,6.6,SENT,4,size=1024B,,1024
1777647883.649,7.13,ACK,0,rtt=2.367ms,2.367,
1777647883.6494,7.61,ACK,1,rtt=2.029ms,2.029,
1777647883.6499,8.09,ACK,2,rtt=1.965ms,1.965,
1777647883.6504,8.58,ACK,3,rtt=1.973ms,1.973,
1777647883.651,9.18,SENT,5,size=1024B,,1024
1777647883.6515,9.7,SENT,6,size=1024B,,1024
1777647883.6521,10.23,SENT,7,size=1024B,,1024
1777647883.6526,10.8,SENT,8,size=1024B,,1024
1777647883.6531,11.24,ACK,4,rtt=2.144ms,2.144,
1777647883.6535,11.7,ACK,5,rtt=2.046ms,2.046,
1777647883.654,12.19,ACK,6,rtt=2.013ms,2.013,
1777647883.6547,12.9,SENT,9,size=1024B,,1024
1777647883.6553,13.46,SENT,10,size=1024B,,1024
1777647883.6558,13.97,SENT,11,size=1024B,,1024
1777647883.6567,14.87,ACK,7,rtt=4.109ms,4.109,
1777647883.6573,15.42,ACK,8,rtt=2.486ms,2.486,
1777647883.6577,15.9,ACK,9,rtt=2.486ms,2.486,
1777647883.6583,16.49,SENT,12,size=1024B,,1024
1777647883.6589,17.05,SENT,13,size=1024B,,1024
1777647883.6594,17.55,SENT,14,size=1024B,,1024
1777647883.6599,18.1,ACK,10,rtt=4.058ms,4.058,
1777647883.6604,18.57,ACK,11,rtt=2.104ms,2.104,
1777647883.6609,19.03,ACK,12,rtt=2.03ms,2.03,
1777647883.6614,19.55,SENT,15,size=1024B,,1024
1777647883.662,20.14,SENT,16,size=1024B,,1024
1777647883.6625,20.7,SENT,17,size=1024B,,1024
1777647883.663,21.15,ACK,13,rtt=3.625ms,3.625,
1777647883.6635,21.71,ACK,14,rtt=2.138ms,2.138,
1777647883.6642,22.35,SENT,18,size=1024B,,1024
1777647883.6647,22.91,SENT,19,size=1024B,,1024
1777647883.6652,23.37,ACK,15,rtt=3.324ms,3.324,
1777647883.6656,23.77,ACK,16,rtt=3.12ms,3.12,
1777647883.666,24.18,ACK,17,rtt=1.912ms,1.912,
1777647883.6665,24.66,ACK,18,rtt=1.762ms,1.762,
1777647883.6671,25.22,SENT,20,size=1024B,,1024
1777647883.6675,25.7,SENT,21,size=1024B,,1024
1777647883.6681,26.22,SENT,22,size=1024B,,1024
1777647883.6686,26.76,SENT,23,size=1024B,,1024
1777647883.6691,27.25,ACK,19,rtt=2.017ms,2.017,
1777647883.6695,27.66,ACK,20,rtt=2.016ms,2.016,
1777647883.67,28.13,ACK,21,rtt=1.907ms,1.907,
1777647883.6707,28.83,ACK,22,rtt=1.861ms,1.861,
1777647883.6714,29.61,SENT,24,size=1024B,,1024
1777647883.6721,30.24,SENT,25,size=1024B,,1024
1777647883.6727,30.82,SENT,26,size=1024B,,1024
1777647883.6732,31.41,SENT,27,size=1024B,,1024
1777647883.6738,32.01,ACK,23,rtt=2.387ms,2.387,
1777647883.6743,32.45,ACK,24,rtt=2.252ms,2.252,
1777647883.6747,32.87,ACK,25,rtt=2.169ms,2.169,
1777647883.6751,33.24,ACK,26,rtt=1.967ms,1.967,
1777647883.6755,33.65,SENT,28,size=1024B,,1024
1777647883.6759,34.08,SENT,29,size=1024B,,1024
1777647883.6764,34.55,SENT,30,size=1024B,,1024
1777647883.6769,35.11,SENT,31,size=1024B,,1024
1777647883.6774,35.54,ACK,27,rtt=1.899ms,1.899,
1777647883.6778,35.96,ACK,28,rtt=1.952ms,1.952,
1777647883.6783,36.45,ACK,29,rtt=1.888ms,1.888,
1777647883.6788,36.92,ACK,30,rtt=1.905ms,1.905,
1777647883.6792,37.4,SENT,32,size=1024B,,1024
1777647883.6797,37.82,SENT,33,size=1024B,,1024
1777647883.6801,38.23,SENT,34,size=1024B,,1024
1777647883.6805,38.67,SENT,35,size=1024B,,1024
1777647883.6809,39.03,ACK,31,rtt=1.701ms,1.701,
1777647883.6814,39.54,ACK,32,rtt=1.682ms,1.682,
1777647883.6818,40.01,ACK,33,rtt=1.756ms,1.756,
1777647883.6823,40.5,SENT,36,size=1024B,,1024
